LotFrontage,LotArea,Street,LotShape,LandContour,LotConfig,BldgType,HouseStyle,RoofStyle,Exterior1st,Exterior2nd,Foundation,BsmtExposure,TotalBsmtSF,Electrical,1stFlrSF,2ndFlrSF,FullBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,GarageType,GarageCars,GarageArea,SaleType,SaleCondition,SalePrice
NA,10920,Pave,IR1,Lvl,Corner,1Fam,1Story,Hip,MetalSd,MetalSd,CBlock,No,1253,SBrkr,1253,0,1,2,1,5,Attchd,1,352,WD,Normal,157000
51,6120,Pave,Reg,Lvl,Corner,1Fam,1.5Unf,Gable,Wd Sdng,Wd Sdng,BrkTil,No,832,FuseA,854,0,1,2,1,5,Detchd,2,576,WD,Normal,132000
NA,11241,Pave,IR1,Lvl,CulDSac,1Fam,1Story,Gable,Wd Sdng,Wd Sdng,CBlock,No,1004,SBrkr,1004,0,1,2,1,5,Attchd,2,480,WD,Normal,149000
72,10791,Pave,Reg,Lvl,Inside,Duplex,1Story,Gable,MetalSd,MetalSd,Slab,NA,0,SBrkr,1296,0,2,2,2,6,CarPort,2,516,WD,Normal,90000
66,13695,Pave,Reg,Lvl,Inside,1Fam,1Story,Gable,VinylSd,VinylSd,PConc,No,1114,SBrkr,1114,0,1,3,1,6,Detchd,2,576,WD,Normal,159000
70,7560,Pave,Reg,Lvl,Inside,1Fam,1Story,Hip,BrkFace,Plywood,CBlock,No,1029,SBrkr,1339,0,1,3,1,6,Attchd,1,294,COD,Abnorml,139000
101,14215,Pave,IR1,Lvl,Corner,1Fam,2Story,Gable,VinylSd,VinylSd,PConc,Av,1158,SBrkr,1158,1218,3,4,1,9,BuiltIn,3,853,New,Partial,325300
57,7449,Pave,Reg,Bnk,Inside,1Fam,1.5Unf,Gable,Wd Sdng,Wd Sdng,PConc,No,637,FuseF,1108,0,1,3,1,6,Attchd,1,280,WD,Normal,139400
75,9742,Pave,Reg,Lvl,Inside,1Fam,1Story,Hip,VinylSd,VinylSd,PConc,No,1777,SBrkr,1795,0,2,3,1,7,Attchd,2,534,WD,Normal,230000
44,4224,Pave,Reg,Lvl,Inside,TwnhsE,1Story,Gable,CemntBd,CmentBd,PConc,No,1040,SBrkr,1060,0,1,3,1,6,Attchd,2,572,WD,Normal,129900
NA,8246,Pave,IR1,Lvl,Inside,1Fam,1Story,Gable,Plywood,Plywood,CBlock,Mn,1060,SBrkr,1060,0,1,3,1,6,Attchd,1,270,WD,Normal,154000
110,14230,Pave,Reg,Lvl,Corner,1Fam,1Story,Gable,VinylSd,VinylSd,PConc,No,1566,SBrkr,1600,0,2,3,1,7,Attchd,3,890,WD,Normal,256300
60,7200,Pave,Reg,Lvl,Corner,1Fam,1Story,Gable,Wd Sdng,Wd Sdng,CBlock,Mn,900,SBrkr,900,0,1,3,1,5,Detchd,2,576,WD,Normal,134800
98,11478,Pave,Reg,Lvl,Inside,1Fam,1Story,Gable,VinylSd,VinylSd,PConc,No,1704,SBrkr,1704,0,2,3,1,7,Attchd,3,772,WD,Normal,306000
47,16321,Pave,IR1,Lvl,CulDSac,1Fam,1Story,Gable,MetalSd,MetalSd,CBlock,Gd,1484,SBrkr,1600,0,1,2,1,6,Attchd,1,319,WD,Normal,207500
60,6324,Pave,IR1,Lvl,Inside,1Fam,1Story,Gable,MetalSd,MetalSd,BrkTil,No,520,SBrkr,520,0,1,1,1,4,Detchd,1,240,WD,Normal,68500
50,8500,Pave,Reg,Lvl,Inside,1Fam,2Story,Gambrel,BrkFace,BrkFace,BrkTil,No,649,SBrkr,649,668,1,3,1,6,Detchd,1,250,WD,Normal,40000
NA,8544,Pave,IR1,Lvl,CulDSac,1Fam,1Story,Gable,HdBoard,HdBoard,CBlock,No,1228,SBrkr,1228,0,1,3,1,6,Attchd,1,271,WD,Normal,149350
85,11049,Pave,Reg,Lvl,Corner,1Fam,1Story,Gable,VinylSd,VinylSd,PConc,Av,1234,SBrkr,1234,0,2,3,1,7,Attchd,2,484,WD,Normal,179900
70,10552,Pave,IR1,Lvl,Inside,1Fam,1Story,Hip,BrkFace,BrkFace,CBlock,No,1398,SBrkr,1700,0,1,4,1,6,Attchd,2,447,WD,Normal,165500
60,7313,Pave,Reg,Lvl,Inside,TwnhsE,1Story,Hip,MetalSd,MetalSd,PConc,No,1561,SBrkr,1561,0,2,2,1,6,Attchd,2,556,WD,Normal,277500
108,13418,Pave,Reg,Lvl,Inside,1Fam,2Story,Gable,VinylSd,VinylSd,PConc,Av,1117,SBrkr,1132,1320,3,4,1,9,BuiltIn,3,691,WD,Normal,309000
112,10859,Pave,Reg,Lvl,Corner,1Fam,1Story,Gable,VinylSd,VinylSd,PConc,No,1097,SBrkr,1097,0,1,3,1,6,Attchd,2,672,WD,Normal,145000
74,8532,Pave,Reg,Lvl,Inside,1Fam,1Story,Hip,Wd Sdng,Wd Sdng,CBlock,No,1297,SBrkr,1297,0,1,3,1,5,Attchd,2,498,WD,Normal,153000
68,7922,Pave,Reg,Lvl,Inside,1Fam,1Story,Gable,VinylSd,VinylSd,CBlock,No,1057,SBrkr,1057,0,1,3,1,5,Detchd,1,246,WD,Abnorml,109000
65,6040,Pave,Reg,Lvl,Inside,Duplex,1Story,Gable,AsbShng,Plywood,PConc,NA,0,FuseP,1152,0,2,2,2,6,NA,0,0,WD,AdjLand,82000
84,8658,Pave,Reg,Lvl,Inside,1Fam,1Story,Gable,Wd Sdng,Wd Sdng,CBlock,No,1088,SBrkr,1324,0,2,3,1,6,Attchd,2,440,WD,Abnorml,160000
115,16905,Pave,Reg,Lvl,Inside,1Fam,1Story,Gable,VinylSd,VinylSd,CBlock,Gd,1350,SBrkr,1328,0,1,2,1,5,Attchd,1,308,WD,Normal,170000
NA,9180,Pave,IR1,Lvl,CulDSac,1Fam,SFoyer,Gable,HdBoard,HdBoard,CBlock,Av,840,SBrkr,884,0,1,2,1,5,Attchd,2,504,WD,Normal,144000
NA,9200,Pave,IR1,Lvl,CulDSac,1Fam,1Story,Hip,VinylSd,VinylSd,CBlock,Av,938,SBrkr,938,0,1,3,1,5,Detchd,1,308,WD,Normal,130250
70,7945,Pave,Reg,Lvl,Inside,1Fam,1Story,Gable,BrkFace,Wd Sdng,CBlock,No,1150,FuseA,1150,0,1,3,1,6,Attchd,1,300,WD,Normal,141000
61,7658,Pave,Reg,Lvl,Inside,TwnhsE,1Story,Hip,MetalSd,MetalSd,PConc,No,1752,SBrkr,1752,0,2,2,1,6,Attchd,2,576,WD,Normal,319900
48,12822,Pave,IR1,Lvl,CulDSac,1Fam,1.5Fin,Gable,VinylSd,VinylSd,PConc,No,1434,SBrkr,1518,631,1,1,1,6,Attchd,2,670,WD,Abnorml,239686
84,11096,Pave,Reg,Lvl,Inside,1Fam,1Story,Gable,VinylSd,VinylSd,PConc,Av,1656,SBrkr,1656,0,2,3,1,7,Attchd,3,826,WD,Normal,249700
33,4456,Pave,Reg,Lvl,Inside,2fmCon,2Story,Gable,MetalSd,MetalSd,BrkTil,No,736,SBrkr,736,716,2,2,3,8,NA,0,0,New,Partial,113000
66,7742,Pave,Reg,Lvl,Inside,1Fam,1Story,Gable,HdBoard,HdBoard,CBlock,No,955,SBrkr,955,0,1,3,1,6,Attchd,1,386,WD,Normal,127000
NA,13869,Pave,IR2,Lvl,Corner,1Fam,2Story,Gable,VinylSd,VinylSd,PConc,Av,794,SBrkr,794,676,2,3,1,6,Attchd,2,388,WD,Normal,177000
52,6240,Pave,Reg,Lvl,Inside,1Fam,1.5Fin,Gable,Wd Sdng,Wd Sdng,PConc,No,816,SBrkr,816,0,1,3,1,6,Detchd,2,528,WD,Normal,114500
110,8472,Grvl,IR2,Bnk,Corner,Duplex,1Story,Gable,Wd Sdng,Wd Sdng,CBlock,Gd,816,SBrkr,816,0,1,2,1,5,CarPort,2,516,WD,Normal,110000
68,50271,Pave,IR1,Low,Inside,1Fam,1Story,Gable,WdShing,Wd Shng,CBlock,Gd,1842,SBrkr,1842,0,0,0,1,5,Attchd,3,894,WD,Normal,385000
60,7134,Pave,Reg,Bnk,Inside,1Fam,SLvl,Gable,MetalSd,MetalSd,CBlock,No,384,SBrkr,1360,0,1,3,1,6,Detchd,2,572,WD,Normal,130000
100,10175,Pave,IR1,Lvl,Inside,1Fam,1Story,Gable,HdBoard,Plywood,CBlock,No,1425,SBrkr,1425,0,2,3,1,7,Attchd,2,576,WD,Normal,180500
24,2645,Pave,Reg,Lvl,Inside,Twnhs,2Story,Gable,MetalSd,MetalSd,PConc,No,970,SBrkr,983,756,2,3,1,7,Attchd,2,480,WD,Abnorml,172500
89,11645,Pave,IR1,Lvl,Corner,1Fam,2Story,Gable,VinylSd,VinylSd,PConc,No,860,SBrkr,860,860,2,3,1,7,Attchd,2,565,WD,Normal,196500
66,13682,Pave,IR2,HLS,CulDSac,1Fam,2Story,Hip,VinylSd,VinylSd,PConc,Gd,1410,SBrkr,1426,1519,3,3,1,10,BuiltIn,3,641,New,Partial,438780
60,7200,Pave,Reg,Bnk,Inside,1Fam,1Story,Gable,HdBoard,HdBoard,CBlock,Av,780,SBrkr,780,0,1,2,1,4,Detchd,1,352,WD,Normal,124900
63,13072,Pave,Reg,Lvl,Inside,1Fam,1Story,Gable,VinylSd,VinylSd,PConc,No,1158,SBrkr,1158,0,1,3,1,5,Detchd,2,576,New,Partial,158000
60,7200,Pave,Reg,Lvl,Inside,1Fam,2.5Unf,Gable,MetalSd,MetalSd,BrkTil,No,530,SBrkr,581,530,1,3,1,6,Detchd,1,288,WD,Normal,101000
44,6442,Pave,IR1,Lvl,Inside,TwnhsE,1Story,Gable,VinylSd,VinylSd,PConc,Mn,1370,SBrkr,1370,0,2,2,1,6,Attchd,2,484,WD,Normal,202500
50,10300,Pave,IR1,Bnk,Inside,1Fam,2Story,Gable,Stucco,Stucco,BrkTil,No,576,SBrkr,902,808,2,3,1,9,Detchd,2,480,WD,Normal,140000
NA,9375,Pave,Reg,Lvl,Inside,1Fam,2Story,Gable,VinylSd,VinylSd,PConc,No,1057,SBrkr,1057,977,2,3,1,8,Attchd,2,645,WD,Normal,219500
76,9591,Pave,Reg,Lvl,Inside,1Fam,2Story,Gable,VinylSd,VinylSd,PConc,Av,1143,SBrkr,1143,1330,2,4,1,9,BuiltIn,3,852,WD,Normal,317000
NA,19900,Pave,Reg,Lvl,Inside,1Fam,1Story,Gable,Plywood,Plywood,CBlock,Gd,1947,SBrkr,2207,0,2,3,1,7,Attchd,2,576,WD,Normal,180000
72,10665,Pave,IR1,Lvl,Inside,1Fam,1Story,Gable,VinylSd,VinylSd,PConc,Av,1453,SBrkr,1479,0,2,3,1,7,Attchd,2,558,WD,Normal,226000
47,4608,Pave,Reg,Lvl,Corner,1Fam,1Story,Gable,MetalSd,MetalSd,CBlock,No,747,SBrkr,747,0,1,2,1,4,Attchd,1,220,WD,Normal,80000
81,15593,Pave,Reg,Lvl,Corner,1Fam,1.5Fin,Gable,BrkFace,AsbShng,CBlock,No,1304,SBrkr,1304,983,2,3,1,7,Attchd,2,667,WD,Normal,225000
95,13651,Pave,IR1,Lvl,Inside,1Fam,1Story,Gable,Plywood,Plywood,CBlock,Gd,2223,SBrkr,2223,0,2,3,1,8,Attchd,2,516,WD,Normal,244000
69,7599,Pave,Reg,Lvl,Corner,1Fam,1Story,Gable,HdBoard,Plywood,CBlock,No,845,SBrkr,845,0,1,2,1,4,Detchd,2,360,WD,Normal,129500
74,10141,Pave,IR1,Lvl,Corner,1Fam,2Story,Gable,VinylSd,VinylSd,PConc,No,832,SBrkr,885,833,2,3,1,7,Attchd,2,427,WD,Normal,185000
85,10200,Pave,Reg,Lvl,Inside,1Fam,1Story,Gable,Wd Sdng,Wd Sdng,CBlock,No,1086,SBrkr,1086,0,1,3,1,6,Attchd,2,490,WD,Normal,144900
60,5790,Pave,Reg,Lvl,Corner,1Fam,2Story,Gambrel,VinylSd,VinylSd,CBlock,No,840,SBrkr,840,765,2,3,2,8,Detchd,1,379,WD,Normal,107400
21,1596,Pave,Reg,Lvl,Inside,Twnhs,SLvl,Gable,CemntBd,CmentBd,CBlock,Gd,462,SBrkr,526,462,1,2,1,5,BuiltIn,1,297,WD,Normal,91000
NA,8475,Pave,IR1,Lvl,Inside,1Fam,1Story,Gable,VinylSd,VinylSd,CBlock,No,952,FuseA,952,0,1,2,1,4,Detchd,1,283,WD,Normal,135750
50,8635,Pave,Reg,Lvl,Inside,1Fam,1.5Fin,Gable,Wd Sdng,Wd Sdng,CBlock,No,672,SBrkr,1072,213,1,2,1,6,Detchd,1,240,WD,Normal,127000
72,10778,Pave,Reg,Lvl,Inside,Duplex,1Story,Hip,HdBoard,HdBoard,CBlock,No,1768,SBrkr,1768,0,2,4,2,8,NA,0,0,WD,Normal,136500
60,10440,Pave,Reg,Lvl,Corner,1Fam,2Story,Gable,Wd Sdng,Wd Sdng,PConc,No,440,SBrkr,682,548,1,2,1,5,Detchd,2,440,WD,Normal,110000
100,13000,Pave,Reg,Lvl,Corner,1Fam,2Story,Gable,VinylSd,VinylSd,CBlock,No,896,SBrkr,1182,960,2,4,1,8,Attchd,1,509,WD,Normal,193500
32,4500,Pave,Reg,Lvl,FR2,TwnhsE,1Story,Hip,VinylSd,VinylSd,PConc,No,1237,SBrkr,1337,0,2,2,1,5,Attchd,2,405,WD,Normal,153500
78,10206,Pave,Reg,Lvl,Inside,1Fam,1Story,Gable,VinylSd,VinylSd,PConc,No,1563,SBrkr,1563,0,2,3,1,6,Attchd,3,758,WD,Normal,245000
80,8892,Pave,IR1,Lvl,Inside,1Fam,1Story,Gable,MetalSd,MetalSd,CBlock,No,1065,SBrkr,1065,0,1,3,1,6,Detchd,2,461,COD,Normal,126500
NA,8530,Pave,IR1,Lvl,Inside,1Fam,SLvl,Gable,HdBoard,HdBoard,PConc,No,384,SBrkr,804,670,2,3,1,7,BuiltIn,2,400,WD,Normal,168500
121,16059,Pave,Reg,Lvl,Corner,1Fam,2Story,Hip,HdBoard,HdBoard,CBlock,No,1288,SBrkr,1301,1116,2,4,1,9,Attchd,2,462,WD,Normal,260000
122,11911,Pave,IR2,Lvl,Inside,1Fam,2Story,Gable,VinylSd,VinylSd,PConc,Av,684,SBrkr,684,876,2,3,1,6,BuiltIn,2,400,WD,Normal,174000
40,3951,Pave,Reg,Lvl,Corner,TwnhsE,2Story,Gable,VinylSd,VinylSd,PConc,Av,612,SBrkr,612,612,2,2,1,4,Detchd,2,528,New,Partial,164500
105,8470,Pave,IR1,Lvl,Corner,1Fam,1.5Fin,Hip,Plywood,Plywood,CBlock,No,1013,SBrkr,1013,0,1,2,1,6,NA,0,0,ConLD,Abnorml,85000
60,8070,Pave,Reg,Lvl,Inside,1Fam,1Story,Gable,VinylSd,VinylSd,PConc,No,990,SBrkr,990,0,1,3,1,5,NA,0,0,WD,Normal,123600
60,7200,Pave,Reg,Lvl,Inside,1Fam,1Story,Gable,BrkFace,Wd Sdng,Slab,NA,0,FuseA,1040,0,1,2,1,4,Detchd,2,420,WD,Normal,109900
85,8500,Pave,Reg,Lvl,Inside,1Fam,1Story,Hip,HdBoard,HdBoard,CBlock,No,1235,SBrkr,1235,0,1,2,1,6,Attchd,2,480,WD,Abnorml,98600
80,13360,Pave,IR1,HLS,Inside,1Fam,1Story,Gable,Wd Sdng,Wd Sdng,BrkTil,No,876,SBrkr,964,0,1,2,1,5,Detchd,2,432,WD,Normal,163500
60,7200,Pave,Reg,Lvl,Corner,2fmCon,2.5Unf,Hip,MetalSd,MetalSd,BrkTil,Mn,1214,SBrkr,1260,1031,2,4,2,9,Detchd,2,506,WD,Normal,133900
69,9337,Pave,IR1,Lvl,Inside,1Fam,2Story,Gable,VinylSd,VinylSd,PConc,No,824,SBrkr,905,881,2,3,1,7,Attchd,2,684,WD,Normal,204750
NA,9765,Pave,IR2,Lvl,Corner,1Fam,2Story,Gable,VinylSd,VinylSd,PConc,No,680,SBrkr,680,790,2,3,1,6,BuiltIn,2,420,WD,Normal,185000
78,10264,Pave,IR1,Lvl,Inside,1Fam,1Story,Gable,VinylSd,VinylSd,PConc,Av,1588,SBrkr,1588,0,2,3,1,6,Attchd,2,472,WD,Normal,214000
73,10921,Pave,Reg,HLS,Inside,1Fam,1Story,Hip,HdBoard,HdBoard,CBlock,No,960,FuseF,960,0,1,3,1,6,Attchd,1,432,WD,Normal,94750
85,10625,Pave,Reg,Lvl,Corner,1Fam,1Story,Gable,Wd Sdng,Wd Sdng,BrkTil,No,458,SBrkr,835,0,1,2,1,5,Basment,1,366,COD,Abnorml,83000
77,9320,Pave,IR1,Lvl,Inside,1Fam,1Story,Gable,Plywood,Plywood,CBlock,No,950,SBrkr,1225,0,1,3,1,6,NA,0,0,WD,Normal,128950
NA,10603,Pave,IR1,Lvl,Inside,1Fam,1Story,Gable,Plywood,Plywood,PConc,Mn,1610,SBrkr,1610,0,2,3,1,6,Attchd,2,480,WD,Normal,205000
77,9206,Pave,Reg,Lvl,Inside,1Fam,2Story,Gable,HdBoard,HdBoard,CBlock,No,741,SBrkr,977,755,2,3,1,7,Attchd,2,476,WD,Normal,178000
64,7018,Pave,Reg,Bnk,Inside,Duplex,1Story,Gable,HdBoard,HdBoard,Slab,NA,0,SBrkr,1535,0,2,4,2,8,Attchd,2,410,WD,Alloca,118964
94,10402,Pave,IR1,Lvl,Corner,1Fam,1Story,Gable,VinylSd,VinylSd,PConc,No,1226,SBrkr,1226,0,2,3,1,6,Attchd,3,740,WD,Normal,198900
NA,7758,Pave,Reg,Lvl,Corner,1Fam,1.5Fin,Gable,Stucco,Stucco,PConc,No,1040,FuseF,1226,592,1,4,1,7,Detchd,1,240,WD,Normal,169500
75,9375,Pave,Reg,Lvl,Inside,1Fam,2Story,Hip,VinylSd,VinylSd,PConc,No,1053,SBrkr,1053,939,2,3,1,9,Attchd,2,648,WD,Normal,250000
60,10800,Pave,Reg,Lvl,Inside,1Fam,1Story,Mansard,VinylSd,VinylSd,BrkTil,No,641,SBrkr,1047,0,1,2,1,6,Detchd,1,273,WD,Normal,100000
50,6000,Pave,Reg,Lvl,Inside,1Fam,1Story,Gable,VinylSd,VinylSd,CBlock,No,789,SBrkr,789,0,1,2,1,5,Detchd,1,250,WD,Partial,115000
85,8500,Pave,Reg,Lvl,Corner,1Fam,1.5Fin,Gable,CemntBd,CmentBd,CBlock,No,793,FuseF,997,520,2,3,1,7,NA,0,0,WD,Normal,115000
105,11751,Pave,IR1,Lvl,Inside,1Fam,1Story,Hip,Plywood,Plywood,CBlock,No,1844,SBrkr,1844,0,2,3,1,7,Attchd,2,546,COD,Normal,190000
75,9525,Pave,Reg,Lvl,Inside,1Fam,1.5Fin,Gable,Wd Sdng,Wd Sdng,CBlock,No,994,SBrkr,1216,639,2,4,1,7,Attchd,1,325,WD,Normal,136900
NA,7750,Pave,IR1,Lvl,Inside,1Fam,SLvl,Gable,VinylSd,VinylSd,PConc,No,384,SBrkr,774,656,2,3,1,7,BuiltIn,2,400,WD,Normal,180000
77,9965,Pave,Reg,Lvl,Inside,1Fam,2Story,Gable,VinylSd,VinylSd,PConc,Av,1264,SBrkr,1282,1414,2,4,1,10,BuiltIn,3,792,New,Partial,383970
NA,21000,Pave,Reg,Bnk,Corner,1Fam,1Story,Hip,Wd Sdng,Wd Sdng,CBlock,Mn,1809,SBrkr,2259,0,2,3,1,7,Basment,2,450,COD,Abnorml,217000
61,7259,Pave,IR1,Lvl,Inside,1Fam,2Story,Gambrel,Wd Sdng,Wd Sdng,CBlock,No,1028,SBrkr,1436,884,2,3,1,9,Detchd,1,180,WD,Normal,259500
34,3230,Pave,Reg,Lvl,Corner,TwnhsE,2Story,Gable,MetalSd,MetalSd,PConc,No,729,SBrkr,729,729,2,2,1,5,Detchd,2,440,WD,Normal,176000
NA,11616,Pave,Reg,Lvl,Inside,1Fam,1Story,Gable,Wd Sdng,Wd Sdng,CBlock,No,1092,SBrkr,1092,0,1,3,1,6,Attchd,1,288,WD,Normal,139000
74,8536,Pave,Reg,Lvl,Corner,1Fam,1Story,Gable,VinylSd,VinylSd,PConc,No,1125,SBrkr,1125,0,1,2,1,5,Attchd,2,430,New,Partial,155000
90,12376,Pave,Reg,Lvl,Corner,1Fam,2Story,Hip,Plywood,Plywood,PConc,Mn,1673,SBrkr,1699,1523,3,5,1,11,Attchd,3,594,WD,Normal,320000
65,8461,Pave,Reg,Lvl,Inside,1Fam,2Story,Gable,VinylSd,VinylSd,PConc,No,728,SBrkr,728,728,2,3,1,8,Attchd,2,390,New,Partial,163990
NA,21453,Pave,IR1,Low,CulDSac,1Fam,SLvl,Flat,Plywood,Plywood,CBlock,Gd,938,SBrkr,988,0,1,1,1,4,Attchd,2,540,WD,Normal,180000
50,6060,Pave,Reg,Lvl,Inside,1Fam,1.5Fin,Gable,AsbShng,AsbShng,PConc,No,732,SBrkr,772,351,1,3,1,4,Detchd,1,264,WD,Normal,100000
75,9464,Pave,Reg,Lvl,Corner,1Fam,1Story,Hip,MetalSd,MetalSd,CBlock,No,1080,SBrkr,1080,0,1,3,1,5,Attchd,1,288,WD,Normal,136000
55,7892,Pave,Reg,Lvl,Inside,TwnhsE,1Story,Gable,Plywood,Plywood,PConc,No,1199,SBrkr,1199,0,2,2,1,5,Attchd,2,530,WD,Normal,153900
48,17043,Pave,IR1,Lvl,CulDSac,1Fam,1Story,Gable,HdBoard,HdBoard,CBlock,No,1362,SBrkr,1586,0,2,3,1,7,Attchd,2,435,WD,Normal,181000
60,6780,Pave,Reg,Lvl,Inside,2fmCon,1.5Fin,Gable,Wd Sdng,Wd Sdng,CBlock,Av,520,SBrkr,520,0,1,2,1,5,NA,0,0,WD,Normal,84500
NA,4928,Pave,IR1,Lvl,Inside,TwnhsE,1Story,Gable,Plywood,Plywood,CBlock,No,1078,SBrkr,958,0,2,2,1,5,Attchd,2,440,WD,Normal,128000
55,4388,Pave,IR1,Bnk,Inside,1Fam,1.5Unf,Gable,WdShing,Wd Sdng,BrkTil,No,672,SBrkr,840,0,1,3,1,5,NA,0,0,WD,Normal,87000
69,7590,Pave,Reg,Lvl,Inside,1Fam,2Story,Gable,VinylSd,VinylSd,CBlock,No,660,SBrkr,660,688,1,3,1,6,Attchd,2,453,WD,Normal,155000
69,8973,Pave,Reg,Lvl,Inside,1Fam,1Story,Gable,Plywood,Plywood,CBlock,No,1008,FuseA,1053,0,1,3,1,6,2Types,2,750,WD,Abnorml,150000
88,14200,Pave,Reg,Lvl,Corner,1Fam,2Story,Gable,MetalSd,MetalSd,CBlock,No,924,SBrkr,1216,941,2,4,1,8,Attchd,2,487,WD,Normal,226000
NA,12224,Pave,IR1,Lvl,Corner,1Fam,2Story,Gable,VinylSd,VinylSd,PConc,No,992,SBrkr,1022,1032,2,3,1,7,BuiltIn,2,390,WD,Normal,244000
75,7388,Pave,Reg,Lvl,Corner,1Fam,1Story,Gable,MetalSd,MetalSd,CBlock,No,1063,SBrkr,1327,0,1,3,1,7,Detchd,2,624,WD,Normal,150750
NA,6853,Pave,IR1,Lvl,Inside,1Fam,1Story,Gable,VinylSd,VinylSd,PConc,No,1267,SBrkr,1296,0,2,2,1,6,Attchd,2,471,WD,Normal,220000
78,10335,Pave,IR1,Lvl,Inside,1Fam,1Story,Gable,Plywood,Plywood,CBlock,No,1461,SBrkr,1721,0,2,3,1,7,Attchd,2,440,WD,Normal,180000
80,10400,Pave,Reg,Lvl,Inside,1Fam,1Story,Hip,Plywood,Plywood,PConc,No,1304,SBrkr,1682,0,2,3,1,7,Attchd,2,530,WD,Normal,174000
NA,10355,Pave,IR1,Lvl,Corner,1Fam,1Story,Gable,MetalSd,MetalSd,CBlock,No,1214,SBrkr,1214,0,2,3,1,5,Attchd,1,318,WD,Normal,143000
82,11070,Pave,Reg,Lvl,Inside,Duplex,1Story,Gable,VinylSd,VinylSd,CBlock,No,1907,SBrkr,1959,0,3,5,2,9,2Types,3,766,WD,Family,171000
73,9066,Pave,IR1,Lvl,Inside,1Fam,2Story,Gable,VinylSd,VinylSd,PConc,Mn,1004,SBrkr,1004,848,2,3,1,7,Attchd,3,660,WD,Normal,230000
65,15426,Pave,IR1,Lvl,Inside,1Fam,2Story,Gable,VinylSd,VinylSd,PConc,No,928,SBrkr,928,836,2,3,1,7,Attchd,2,470,WD,Normal,231500
70,10500,Pave,Reg,Lvl,FR2,1Fam,1Story,Gable,HdBoard,HdBoard,CBlock,No,864,SBrkr,864,0,1,3,1,5,NA,0,0,ConLI,Normal,115000
78,11645,Pave,Reg,Lvl,Inside,1Fam,1Story,Gable,VinylSd,VinylSd,PConc,Av,1734,SBrkr,1734,0,2,3,1,7,Attchd,2,660,WD,Normal,260000
